Umur,Jenis Kelamin,Saya sudah berlangganan Netflix selama .......,Rekomendasi tontonan di Netflix ....... dengan kebiasaan menonton saya.,Saya merasa Netflix memberikan pengalaman menonton yang ....... dengan selera saya.,Netflix ....... dalam menyarankan tayangan yang saya sukai berdasarkan riwayat tontonan.,Netflix dapat dengan ....... terhubung ke berbagai perangkat (seperti TV atau HP).,Saya dapat melanjutkan menonton di perangkat lain dengan kenyamanan ....... karena riwayat tontonan langsung tersinkronisasi.,Notifikasi atau saran tontonan dari Netflix ....... dengan selera saya.,Iklan atau promosi Netflix membuat saya ....... untuk berlangganan atau menonton film baru,Promosi melalui email atau notifikasi ....... saya untuk terus menggunakan layanan Netflix.,Saya ....... tayangan baru dari situs atau iklan daring Netflix.,Saya ....... promosi atau konten baru Netflix dari media sosial seperti Instagram atau TikTok.,Jam,Tanggal,JamMenit
1,0,3,3,3,2,4,4,1,2,1,2,1,23,2025-05-16,23:24
1,0,0,1,2,4,1,2,3,2,2,2,2,23,2025-05-16,23:27
1,0,3,4,3,3,3,4,4,4,3,4,3,23,2025-05-16,23:27
1,1,0,4,3,4,2,3,3,4,3,4,3,23,2025-05-16,23:33
1,1,1,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:38
1,1,3,3,3,3,3,3,3,3,4,4,4,23,2025-05-16,23:49
1,0,3,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:50
1,1,2,4,4,4,4,3,4,2,2,2,2,0,2025-05-17,00:00
1,1,1,4,4,4,4,4,4,4,4,4,4,0,2025-05-17,00:05
1,0,0,3,3,3,4,4,2,2,1,2,3,0,2025-05-17,00:24
1,0,0,2,3,2,2,2,2,2,2,2,2,0,2025-05-17,00:45
0,0,3,4,4,4,4,4,4,4,4,3,4,5,2025-05-17,05:52
1,1,0,3,2,2,4,4,2,2,2,2,2,6,2025-05-17,06:11
0,0,1,3,3,3,3,3,3,2,1,2,2,7,2025-05-17,07:58
1,0,3,3,3,3,4,4,4,3,2,2,3,8,2025-05-17,08:13
1,1,2,3,3,4,4,4,2,4,2,2,4,8,2025-05-17,08:26
1,0,0,1,1,4,1,2,1,1,1,1,1,8,2025-05-17,08:57
1,0,0,3,2,3,3,3,3,3,3,3,3,10,2025-05-17,10:11
1,0,3,3,3,4,3,4,4,4,3,3,4,10,2025-05-17,10:34
1,1,3,3,3,3,3,3,2,2,2,2,3,10,2025-05-17,10:35
1,1,0,1,1,1,1,1,1,4,1,1,1,10,2025-05-17,10:38
1,0,0,3,4,2,4,4,4,4,4,4,4,10,2025-05-17,10:48
1,1,0,3,3,3,4,3,3,3,2,3,3,10,2025-05-17,10:56
1,1,3,3,3,4,4,4,4,4,4,3,4,10,2025-05-17,10:58
1,1,0,3,3,3,4,3,2,1,1,3,2,10,2025-05-17,10:59
1,1,0,3,3,3,3,3,3,3,2,2,2,11,2025-05-17,11:00
1,1,0,4,4,4,4,4,4,4,1,1,3,11,2025-05-17,11:00
1,1,2,4,4,3,4,4,3,3,4,4,4,11,2025-05-17,11:00
1,1,0,3,3,3,4,3,3,2,3,2,3,11,2025-05-17,11:01
1,0,3,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:06
1,0,0,3,3,3,4,4,3,3,3,2,3,11,2025-05-17,11:07
1,0,0,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:09
1,1,0,2,3,3,3,2,3,3,3,3,3,11,2025-05-17,11:12
1,1,0,3,3,3,3,3,3,3,2,3,3,11,2025-05-17,11:13
1,1,3,3,4,4,4,4,3,3,4,4,4,11,2025-05-17,11:14
1,1,0,4,3,3,4,4,3,3,3,2,2,11,2025-05-17,11:14
1,0,3,3,3,3,4,4,4,4,2,4,4,11,2025-05-17,11:15
1,0,0,3,3,3,3,3,3,3,3,2,3,11,2025-05-17,11:15
1,1,2,3,4,3,4,4,3,3,4,3,3,11,2025-05-17,11:15
1,1,3,3,3,3,4,3,3,3,3,3,3,11,2025-05-17,11:19
1,0,0,3,3,3,3,4,3,3,2,2,2,11,2025-05-17,11:21
1,1,0,4,4,2,4,3,3,3,3,3,3,11,2025-05-17,11:21
1,0,0,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:21
1,1,3,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:22
1,1,3,4,4,4,4,4,3,3,3,4,4,11,2025-05-17,11:22
1,0,0,2,3,3,3,3,2,2,2,2,2,11,2025-05-17,11:22
1,1,0,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:23
1,1,3,3,3,3,3,3,3,3,2,3,2,11,2025-05-17,11:23
1,1,2,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:24
1,1,0,3,4,3,4,4,4,2,2,2,2,11,2025-05-17,11:25
1,1,1,3,3,3,4,3,3,3,2,3,3,11,2025-05-17,11:26
