Umur,Jenis Kelamin,Saya sudah berlangganan Netflix selama .......,Rekomendasi tontonan di Netflix ....... dengan kebiasaan menonton saya.,Saya merasa Netflix memberikan pengalaman menonton yang ....... dengan selera saya.,Netflix ....... dalam menyarankan tayangan yang saya sukai berdasarkan riwayat tontonan.,Netflix dapat dengan ....... terhubung ke berbagai perangkat (seperti TV atau HP).,Saya dapat melanjutkan menonton di perangkat lain dengan kenyamanan ....... karena riwayat tontonan langsung tersinkronisasi.,Notifikasi atau saran tontonan dari Netflix ....... dengan selera saya.,Iklan atau promosi Netflix membuat saya ....... untuk berlangganan atau menonton film baru,Promosi melalui email atau notifikasi ....... saya untuk terus menggunakan layanan Netflix.,Saya ....... tayangan baru dari situs atau iklan daring Netflix.,Saya ....... promosi atau konten baru Netflix dari media sosial seperti Instagram atau TikTok.,Jam,Tanggal,JamMenit
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,3,3,2,4,4,1,2,1,2,1,23,2025-05-16,23:24
18 - 30 tahun,Laki-Laki,1-3 bulan,1,2,4,1,2,3,2,2,2,2,23,2025-05-16,23:27
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,4,3,3,3,4,4,4,3,4,3,23,2025-05-16,23:27
18 - 30 tahun,Perempuan,1-3 bulan,4,3,4,2,3,3,4,3,4,3,23,2025-05-16,23:33
18 - 30 tahun,Perempuan,4-6 bulan,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:38
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,3,3,3,3,4,4,4,23,2025-05-16,23:49
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,4,4,4,4,4,4,4,4,23,2025-05-16,23:50
18 - 30 tahun,Perempuan,6-12 bulan,4,4,4,4,3,4,2,2,2,2,0,2025-05-17,00:00
18 - 30 tahun,Perempuan,4-6 bulan,4,4,4,4,4,4,4,4,4,4,0,2025-05-17,00:05
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,4,4,2,2,1,2,3,0,2025-05-17,00:24
18 - 30 tahun,Laki-Laki,1-3 bulan,2,3,2,2,2,2,2,2,2,2,0,2025-05-17,00:45
Dibawah 18 tahun,Laki-Laki,Diatas 1 tahun,4,4,4,4,4,4,4,4,3,4,5,2025-05-17,05:52
18 - 30 tahun,Perempuan,1-3 bulan,3,2,2,4,4,2,2,2,2,2,6,2025-05-17,06:11
Dibawah 18 tahun,Laki-Laki,4-6 bulan,3,3,3,3,3,3,2,1,2,2,7,2025-05-17,07:58
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,3,3,3,4,4,4,3,2,2,3,8,2025-05-17,08:13
18 - 30 tahun,Perempuan,6-12 bulan,3,3,4,4,4,2,4,2,2,4,8,2025-05-17,08:26
18 - 30 tahun,Laki-Laki,1-3 bulan,1,1,4,1,2,1,1,1,1,1,8,2025-05-17,08:57
18 - 30 tahun,Laki-Laki,1-3 bulan,3,2,3,3,3,3,3,3,3,3,10,2025-05-17,10:11
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,3,3,4,3,4,4,4,3,3,4,10,2025-05-17,10:34
